step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
406,352.56,125640.0,125287.44,0.0,0.0,0,0,0,1,0,0,0
48,14399.47,27896.4,13496.94,0.0,0.0,0,0,0,1,0,0,0
372,577296.33,20308.0,597604.33,104831.67,0.0,1,0,0,0,0,0,0
10,107441.21,0.0,0.0,1378372.09,3443670.15,0,0,0,0,1,0,0
178,236502.45,0.0,0.0,6767141.76,7003644.21,0,1,0,0,0,0,0
140,5577.61,90910.21,85332.6,0.0,0.0,0,0,0,1,0,0,0
177,3058.1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
19,2053322.83,0.0,0.0,3731639.88,5784962.7,0,0,0,0,1,0,0
304,27688.32,229959.19,202270.87,0.0,0.0,0,0,0,1,0,0,0
331,1043477.51,0.0,0.0,9363356.62,10406834.13,0,0,0,0,1,0,0
133,38108.85,206129.72,168020.87,0.0,0.0,0,0,0,1,0,0,0
330,380987.16,0.0,0.0,3924015.82,4305002.98,0,1,0,0,0,0,0
36,85325.54,0.0,0.0,3625385.77,3849127.75,0,1,0,0,0,0,0
476,101118.93,2333689.32,2434808.25,8444349.14,8343230.21,1,0,0,0,0,0,0
251,2379.56,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
153,399826.25,135116.0,534942.25,1072337.13,672510.88,1,0,0,0,0,0,0
210,18081.56,2651994.59,2670076.15,10129168.02,10111086.46,1,0,0,0,0,0,0
163,502177.81,10973.0,0.0,2947721.17,3177847.19,0,1,0,0,0,0,0
393,155698.73,0.0,0.0,1333030.56,1488729.29,0,1,0,0,0,0,0
44,9537.06,125699.0,116161.94,0.0,0.0,0,0,0,1,0,0,0
229,22156.34,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
372,3639.11,0.0,0.0,441571.81,445210.92,0,0,1,0,0,0,0
298,18640.15,44541.25,25901.1,0.0,0.0,0,0,0,1,0,0,0
164,12237.28,276789.08,264551.8,0.0,0.0,0,0,0,1,0,0,0
181,64985.5,50864.0,0.0,1065634.25,1280535.96,0,1,0,0,0,0,0
16,15470.58,321103.91,305633.33,0.0,0.0,0,0,0,1,0,0,0
187,213037.54,3188599.6,3401637.14,397269.11,184231.57,1,0,0,0,0,0,0
215,8818.0,43184.0,34366.0,0.0,0.0,0,0,0,1,0,0,0
157,324758.86,183084.0,507842.86,1039580.05,714821.19,1,0,0,0,0,0,0
402,692248.68,9006.0,0.0,143194.24,835442.92,0,0,0,0,1,0,0
182,5660.52,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
185,5074.24,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
43,15291.61,56280.0,40988.39,0.0,0.0,0,0,0,1,0,0,0
17,283548.71,0.0,0.0,8782123.62,9065672.33,0,1,0,0,0,0,0
301,184238.83,7801981.26,7986220.09,663809.49,479570.66,1,0,0,0,0,0,0
157,10789.17,198472.0,187682.83,0.0,0.0,0,0,0,1,0,0,0
384,405636.44,0.0,0.0,2591002.91,2996639.36,0,0,0,0,1,0,0
39,12845.1,15104.0,2258.9,0.0,0.0,0,0,0,1,0,0,0
211,39113.89,70272.0,31158.11,141433.03,180546.92,0,1,0,0,0,0,0
137,4319.08,11807.0,7487.92,0.0,0.0,0,0,0,1,0,0,0
396,91292.46,0.0,0.0,5767266.06,5858558.52,0,1,0,0,0,0,0
329,227107.85,447534.0,220426.15,1293638.97,1520746.82,0,1,0,0,0,0,0
378,7784.27,403120.64,395336.37,0.0,0.0,0,0,0,1,0,0,0
254,10855.42,10819.0,0.0,0.0,0.0,0,0,0,1,0,0,0
203,636.39,1007.0,370.61,0.0,0.0,0,0,0,1,0,0,0
330,8580.36,287219.02,278638.66,0.0,0.0,0,0,0,1,0,0,0
250,57808.5,7597509.03,7655317.52,985015.53,927207.03,1,0,0,0,0,0,0
37,3200.08,0.0,0.0,8743295.06,8746495.14,0,1,0,0,0,0,0
369,11415.16,25830.37,14415.2,0.0,0.0,0,0,0,1,0,0,0
17,137196.72,15620835.07,15758031.79,8394459.4,8257262.68,1,0,0,0,0,0,0
257,5320.11,15199.0,9878.89,0.0,0.0,0,0,0,1,0,0,0
283,89192.79,4061109.72,4150302.51,3361721.13,3272528.34,1,0,0,0,0,0,0
263,4388.95,15550.41,11161.46,0.0,0.0,0,0,0,1,0,0,0
306,156803.95,75110.0,0.0,1322490.85,1479294.8,0,1,0,0,0,0,0
402,139064.09,0.0,0.0,685926.29,824990.38,0,1,0,0,0,0,0
305,2295147.13,0.0,0.0,3891174.93,6186322.05,0,0,0,0,1,0,0
159,46558.06,5324.98,0.0,0.0,0.0,0,0,0,1,0,0,0
154,71415.38,0.0,0.0,276950.31,348365.69,0,1,0,0,0,0,0
303,9504.98,21094.0,11589.02,0.0,0.0,0,0,0,1,0,0,0
204,15125.96,0.0,0.0,472161.75,487287.7,0,0,0,0,1,0,0
306,162607.25,934915.51,1097522.76,5011529.06,4848921.8,1,0,0,0,0,0,0
258,129966.65,0.0,0.0,2781926.47,2911893.12,0,1,0,0,0,0,0
44,11679.51,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
661,7065.41,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
281,6525.88,7896.6,1370.72,0.0,0.0,0,0,0,1,0,0,0
43,51001.34,0.0,0.0,226923.69,234494.15,0,1,0,0,0,0,0
46,581.3,20280.0,19698.7,0.0,0.0,0,0,0,1,0,0,0
400,12228.82,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
352,192837.54,2091590.06,2284427.6,1208207.72,1015370.18,1,0,0,0,0,0,0
282,11475.24,38302.0,26826.76,0.0,0.0,0,0,0,1,0,0,0
231,486624.68,19772.0,0.0,6384155.38,6870780.06,0,1,0,0,0,0,0
349,45835.62,113911.0,159746.62,0.0,0.0,1,0,0,0,0,0,0
301,40617.88,71277.07,30659.19,0.0,0.0,0,0,0,1,0,0,0
284,9085.75,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
48,86662.35,0.0,0.0,1817991.2,1904653.56,0,1,0,0,0,0,0
348,217974.42,23630.0,241604.42,2721.08,0.0,1,0,0,0,0,0,0
236,126722.54,617.0,127339.54,1274836.56,1148114.02,1,0,0,0,0,0,0
403,16280.14,0.0,0.0,454704.22,470984.36,0,1,0,0,0,0,0
34,6689.84,30691.0,24001.16,0.0,0.0,0,0,0,1,0,0,0
234,150103.81,34413.0,0.0,0.0,150103.81,0,1,0,0,0,0,0
383,28514.98,5549944.1,5578459.08,149057.98,120543.0,1,0,0,0,0,0,0
300,296213.67,32645.0,328858.67,0.0,0.0,1,0,0,0,0,0,0
187,9392.17,7972.16,0.0,0.0,0.0,0,0,0,1,0,0,0
184,82901.86,139766.0,222667.86,275280.4,192378.54,1,0,0,0,0,0,0
37,221553.67,42667.11,0.0,1202074.75,1423628.42,0,1,0,0,0,0,0
134,9576.4,9418.18,0.0,0.0,0.0,0,0,0,1,0,0,0
262,48964.39,0.0,0.0,1939663.48,1988627.87,0,1,0,0,0,0,0
279,10583.0,31198.0,20615.0,0.0,0.0,0,0,0,1,0,0,0
250,63288.36,2429636.24,2492924.6,78738.36,15450.0,1,0,0,0,0,0,0
346,3649.81,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
139,32047.19,31690.0,0.0,0.0,0.0,0,0,0,1,0,0,0
359,2683.32,1037.0,0.0,0.0,0.0,0,0,0,1,0,0,0
204,7058.53,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
162,2737.74,2443.86,0.0,0.0,0.0,0,0,0,1,0,0,0
305,1446378.35,0.0,0.0,10000000.0,11446378.35,0,0,0,0,1,0,0
19,361210.38,819452.94,1180663.32,1535288.2,1054510.87,1,0,0,0,0,0,0
637,303465.86,0.0,0.0,449460.15,752926.01,0,0,0,0,1,0,0
355,146529.47,19542.0,166071.47,69781.97,0.0,1,0,0,0,0,0,0
39,652626.18,0.0,0.0,987820.65,1640446.83,0,1,0,0,0,0,0
130,3580.94,434535.22,430954.27,0.0,0.0,0,0,0,1,0,0,0
42,25552.95,16757.45,0.0,0.0,0.0,0,0,0,1,0,0,0
255,19155.16,0.0,0.0,422482.37,441637.53,0,1,0,0,0,0,0
203,94079.24,0.0,0.0,1458988.02,1553067.26,0,1,0,0,0,0,0
374,25095.39,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
182,162403.71,22094.0,0.0,370949.12,533352.83,0,1,0,0,0,0,0
16,238231.17,16403.0,0.0,728724.23,1944825.39,0,1,0,0,0,0,0
617,77178.21,1274720.8,1351899.01,466649.54,389471.33,1,0,0,0,0,0,0
528,89.36,173.0,83.64,9029.08,9118.45,0,0,1,0,0,0,0
228,232661.25,0.0,0.0,427125.72,659786.97,0,1,0,0,0,0,0
308,249800.08,468.0,0.0,1716532.96,1966333.04,0,1,0,0,0,0,0
370,364509.57,127.0,0.0,745237.11,1109746.68,0,1,0,0,0,0,0
204,205450.09,38396.0,243846.09,8371933.47,8166483.38,1,0,0,0,0,0,0
404,27318.7,42380.0,69698.7,89043.69,61724.99,1,0,0,0,0,0,0
47,1844.5,278647.0,276802.5,4667414.64,4669259.14,0,0,1,0,0,0,0
18,5723.31,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
684,84088.85,1125034.2,1209123.05,7933047.81,7848958.97,1,0,0,0,0,0,0
179,2007.82,253835.81,251827.99,0.0,0.0,0,0,0,1,0,0,0
43,42191.25,16062.8,0.0,1716075.06,1758266.32,0,1,0,0,0,0,0
187,9678.97,22649.0,12970.03,0.0,0.0,0,0,0,1,0,0,0
259,82010.16,0.0,0.0,172156.58,254166.73,0,1,0,0,0,0,0
208,236929.28,5460.23,0.0,570718.95,807648.23,0,1,0,0,0,0,0
138,9868.8,161570.0,151701.2,0.0,0.0,0,0,0,1,0,0,0
253,19618.68,5315.0,0.0,0.0,0.0,0,0,0,1,0,0,0
182,25299.68,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
132,634.12,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
381,25.01,0.0,0.0,894973.31,894998.33,0,1,0,0,0,0,0
308,86922.56,0.0,0.0,2426561.15,2513483.71,0,1,0,0,0,0,0
261,83218.18,8489.0,0.0,351408.01,434626.19,0,1,0,0,0,0,0
41,37444.71,8515.0,45959.71,351077.5,313632.79,1,0,0,0,0,0,0
380,48890.29,28293.0,77183.29,27352201.95,27303311.66,1,0,0,0,0,0,0
524,24462.67,16674.0,0.0,0.0,0.0,0,0,0,1,0,0,0
346,393786.5,30592.0,0.0,1070072.23,1463858.73,0,1,0,0,0,0,0
160,274660.75,0.0,0.0,277091.11,551751.86,0,1,0,0,0,0,0
190,29405.58,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
209,7597.77,160609.74,153011.97,0.0,0.0,0,0,0,1,0,0,0
163,5196.39,367.0,0.0,0.0,0.0,0,0,0,1,0,0,0
571,79541.76,29812.0,109353.76,207260.84,127719.08,1,0,0,0,0,0,0
323,356466.98,11342.0,0.0,0.0,356466.98,0,1,0,0,0,0,0
34,162.5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
297,48066.29,61600.0,13533.71,0.0,0.0,0,0,0,1,0,0,0
308,164702.93,6255343.11,6420046.03,784443.82,619740.9,1,0,0,0,0,0,0
260,955576.84,128328.0,0.0,535978.57,1491555.41,0,0,0,0,1,0,0
185,330159.39,395.0,330554.39,127359.27,0.0,1,0,0,0,0,0,0
208,22554.24,21108.0,0.0,0.0,0.0,0,0,0,1,0,0,0
594,161388.01,0.0,0.0,220256.69,381644.7,0,1,0,0,0,0,0
309,158404.51,50201.0,208605.51,164014.65,5610.14,1,0,0,0,0,0,0
13,235187.46,2286718.83,2521906.29,1862074.89,1626887.42,1,0,0,0,0,0,0
709,3035.39,24140.0,21104.61,0.0,0.0,0,0,0,1,0,0,0
400,1007923.3,110206.0,0.0,0.0,1007923.3,0,0,0,0,1,0,0
405,4528.23,11052.0,6523.77,0.0,0.0,0,0,0,1,0,0,0
351,98721.37,29756.0,0.0,221786.22,434915.05,0,1,0,0,0,0,0
163,18565.76,39703.0,21137.24,0.0,0.0,0,0,0,1,0,0,0
275,6349.78,78749.43,72399.65,0.0,0.0,0,0,0,1,0,0,0
329,37481.76,308896.82,271415.06,324903.08,362384.83,0,1,0,0,0,0,0
207,60345.22,57511.0,0.0,39274.94,99620.17,0,1,0,0,0,0,0
395,17741.54,85453.0,67711.46,0.0,0.0,0,0,0,1,0,0,0
34,80067.1,15259.0,0.0,782057.66,862124.76,0,1,0,0,0,0,0
280,2355461.79,0.0,0.0,2732540.78,5522759.68,0,0,0,0,1,0,0
588,88920.26,7104644.52,7193564.78,336544.69,247624.43,1,0,0,0,0,0,0
353,34049.17,11313.0,0.0,0.0,0.0,0,0,0,1,0,0,0
596,214951.81,0.0,0.0,868186.58,1083138.39,0,0,0,0,1,0,0
95,2821.99,327168.0,324346.01,0.0,0.0,0,0,0,1,0,0,0
350,11120.58,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
300,216020.28,3094.0,0.0,0.0,216020.28,0,1,0,0,0,0,0
136,207879.75,6677265.56,6885145.31,328315.23,120435.47,1,0,0,0,0,0,0
235,204617.85,0.0,0.0,1366468.66,1571086.51,0,0,0,0,1,0,0
45,197237.46,0.0,0.0,558575.66,755813.12,0,1,0,0,0,0,0
401,262968.26,0.0,0.0,12537912.15,12800880.41,0,1,0,0,0,0,0
280,13723.85,29828.2,16104.35,0.0,0.0,0,0,0,1,0,0,0
19,24650.88,6910112.3,6934763.17,4598879.56,4748900.78,1,0,0,0,0,0,0
306,7691.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
307,34780.16,6665650.35,6700430.5,409613.53,374833.37,1,0,0,0,0,0,0
688,132055.76,5129.7,137185.46,1892666.08,1760610.32,1,0,0,0,0,0,0
11,17659.9,19224.0,1564.1,0.0,0.0,0,0,0,1,0,0,0
252,340824.31,13379.0,0.0,4663.81,345488.12,0,1,0,0,0,0,0
131,186042.92,20446.0,206488.92,85.0,0.0,1,0,0,0,0,0,0
162,176189.92,0.0,0.0,284947.24,461137.17,0,1,0,0,0,0,0
205,1815.03,32411.0,30595.97,0.0,0.0,0,0,0,1,0,0,0
474,27348.02,6805.77,0.0,0.0,0.0,0,0,0,1,0,0,0
331,310033.0,11356984.98,11667017.98,458164.63,148131.63,1,0,0,0,0,0,0
522,13650.8,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
14,6019.25,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
179,94009.49,13248343.66,13342353.15,483231.86,389222.36,1,0,0,0,0,0,0
154,26735.17,21092.05,0.0,0.0,0.0,0,0,0,1,0,0,0
400,137733.15,0.0,0.0,1797162.57,1934895.72,0,1,0,0,0,0,0
400,121096.01,676685.33,797781.34,1112814.45,991718.43,1,0,0,0,0,0,0
10,440.24,1171.0,730.76,0.0,0.0,0,0,0,1,0,0,0
11,205293.67,365118.66,159824.99,107450.3,483514.57,0,1,0,0,0,0,0
592,7092.33,19259.0,12166.67,0.0,0.0,0,0,0,1,0,0,0
687,24302.12,5437635.69,5461937.81,293301.07,268998.95,1,0,0,0,0,0,0
564,37983.55,203680.42,165696.87,0.0,0.0,0,0,0,1,0,0,0
208,275838.54,183195.4,0.0,905172.34,1181010.88,0,1,0,0,0,0,0
231,12526.83,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
405,1053.65,70271.0,69217.35,0.0,0.0,0,0,0,1,0,0,0
429,17819.43,125916.19,108096.76,0.0,0.0,0,0,0,1,0,0,0
94,163090.15,21520.0,0.0,5998962.9,6162053.06,0,0,0,0,1,0,0
322,21269.89,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
378,216726.2,0.0,0.0,30366015.75,30582741.96,0,0,0,0,1,0,0
19,182351.99,104824.0,287175.99,7926776.3,7535897.56,1,0,0,0,0,0,0
280,238166.63,1614360.64,1852527.26,757634.54,519467.91,1,0,0,0,0,0,0
307,10513.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
45,8584.44,8265.0,16849.44,532059.22,523474.78,1,0,0,0,0,0,0
306,327376.02,0.0,0.0,2294168.23,2621544.26,0,1,0,0,0,0,0
12,42538.95,0.0,0.0,542810.68,585349.62,0,1,0,0,0,0,0
590,385994.2,42220.0,0.0,3059123.08,3445117.28,0,1,0,0,0,0,0
378,337883.84,0.0,0.0,690409.33,1028293.17,0,1,0,0,0,0,0
300,4699.86,66044.0,61344.14,1147641.39,1152341.25,0,0,1,0,0,0,0
356,220667.39,81167.0,0.0,242357.52,463024.91,0,1,0,0,0,0,0
228,252047.93,0.0,0.0,259472.52,511520.45,0,1,0,0,0,0,0
142,264.51,5078.0,4813.49,17800212.77,17800477.29,0,0,1,0,0,0,0
158,12232.7,18121.0,5888.3,0.0,0.0,0,0,0,1,0,0,0
278,16008.0,1062164.18,1078172.17,481464.02,465456.03,1,0,0,0,0,0,0
258,206157.0,2502036.59,2708193.59,363813.95,157656.95,1,0,0,0,0,0,0
692,130480.43,4536.0,0.0,4420396.64,4550877.07,0,1,0,0,0,0,0
33,9692.7,1894701.74,1885009.03,0.0,0.0,0,0,0,1,0,0,0
577,143911.61,37174.63,0.0,496131.0,640042.6,0,1,0,0,0,0,0
18,9905.03,51246.1,41341.07,0.0,0.0,0,0,0,1,0,0,0
395,54528.52,33896.0,88424.52,973752.67,919224.15,1,0,0,0,0,0,0
284,105654.26,0.0,0.0,1581267.05,1686921.31,0,1,0,0,0,0,0
328,144142.89,0.0,0.0,1511181.53,1655324.42,0,1,0,0,0,0,0
311,115089.47,8630721.15,8745810.62,8679809.15,8564719.68,1,0,0,0,0,0,0
371,346023.97,0.0,0.0,1123831.86,1469855.83,0,1,0,0,0,0,0
378,610.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
204,89553.7,52418.0,141971.7,0.0,0.0,1,0,0,0,0,0,0
279,138081.2,0.0,0.0,1292567.69,1430648.88,0,1,0,0,0,0,0
332,96220.23,0.0,0.0,377908.42,474128.65,0,1,0,0,0,0,0
201,424031.07,0.0,0.0,36313.87,460344.94,0,0,0,0,1,0,0
571,432691.85,21335.0,0.0,3512122.86,3944814.71,0,1,0,0,0,0,0
187,204537.17,0.0,0.0,381965.32,586502.5,0,1,0,0,0,0,0
351,17533.88,276275.72,258741.84,0.0,0.0,0,0,0,1,0,0,0
226,2044802.02,0.0,0.0,2608688.07,4653490.09,0,0,0,0,1,0,0
407,370719.92,0.0,0.0,506029.26,876749.18,0,0,0,0,1,0,0
177,123892.22,2445166.0,2569058.22,2865111.3,2741219.08,1,0,0,0,0,0,0
237,40031.34,0.0,0.0,1571644.67,1611676.01,0,1,0,0,0,0,0
136,5869.06,26945.0,21075.94,0.0,0.0,0,0,0,1,0,0,0
284,147473.39,0.0,0.0,187082.39,334555.78,0,1,0,0,0,0,0
187,14333.93,144803.0,130469.07,0.0,0.0,0,0,0,1,0,0,0
17,2504835.22,0.0,0.0,3312931.23,7931804.52,0,0,0,0,1,0,0
185,9499.73,3593.0,0.0,0.0,0.0,0,0,0,1,0,0,0
322,98227.74,10430.0,0.0,4110.0,102337.74,0,1,0,0,0,0,0
208,3094.97,39419.0,36324.03,0.0,0.0,0,0,0,1,0,0,0
595,122058.94,0.0,0.0,742422.69,864481.63,0,1,0,0,0,0,0
20,183166.19,2274467.28,2457633.47,802722.02,619555.83,1,0,0,0,0,0,0
180,127546.94,3122860.51,3250407.45,948162.15,820615.22,1,0,0,0,0,0,0
284,24923.03,6958.71,0.0,0.0,0.0,0,0,0,1,0,0,0
46,4085.02,14203.0,10117.98,0.0,0.0,0,0,0,1,0,0,0
332,53004.26,6009237.8,6062242.06,299887.94,246883.68,1,0,0,0,0,0,0
94,197912.0,591.0,0.0,1157381.03,1355293.03,0,0,0,0,1,0,0
154,92764.73,14353.0,107117.73,98592.44,5827.71,1,0,0,0,0,0,0
208,273996.09,842359.67,1116355.76,1839060.93,1565064.84,1,0,0,0,0,0,0
15,13885.47,12421.0,0.0,0.0,0.0,0,0,0,1,0,0,0
373,29118.39,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
44,131330.85,55176.69,0.0,834480.66,965811.51,0,1,0,0,0,0,0
287,11963.51,31653.0,19689.49,0.0,0.0,0,0,0,1,0,0,0
13,26094.21,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
396,393657.42,0.0,0.0,449154.28,842811.7,0,1,0,0,0,0,0
256,145319.85,12150.0,0.0,44425.21,189745.06,0,1,0,0,0,0,0
379,14081.36,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
394,90626.55,873.0,91499.55,840353.76,749727.21,1,0,0,0,0,0,0
227,107728.0,9390.0,117118.0,0.0,0.0,1,0,0,0,0,0,0
308,39249.85,0.0,0.0,233619.69,272869.54,0,1,0,0,0,0,0
216,2926.66,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
132,382134.08,0.0,0.0,1221890.65,1604024.73,0,0,0,0,1,0,0
21,134358.01,1882.0,0.0,539070.45,766672.35,0,1,0,0,0,0,0
